,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
197010,43135.08,49005.18,126696.96,74789.52,60272.55,34004.1,36236.97,31260.46,42539.85,60303.18
197011,43347.18,47906.76,122450.65,76654.24,57982.72,32729.06,35565.68,30898.4,42022.8,56635.2
197012,44925.52,50864.88,126368.64,79882.68,60264.25,34338.98,37832.34,31716.88,45704.25,58410.82
197101,48141,53976.12,136289.13,81681.06,62896.77,36603.84,39728.08,32832.78,48784.95,63037.62
197102,50275.58,55936.32,144353.44,81690.78,66310.94,40174.16,42928.38,34437.24,50059.35,67845.19
197103,51977.97,56868.24,145486.88,84996.55,67927.68,37663.34,44278.74,34776.39,48533.85,69064.94
197104,54150.24,58765.08,151300.66,87231.68,73321,37840.4,47197.44,36023.85,49470.75,72981.26
197105,55283,63715.08,157639.65,90894.95,75019.52,38020.75,49501.4,37527.84,47551.05,75922.95
197106,53208.8,60627.6,153492.09,85994.43,70190.82,35661,48438.59,36628.2,45532.8,70700.7
197107,56437.68,60933.44,155924.44,88956.26,70950.75,35874.09,51272.2,43775.4,49641.2,75471.5
197108,55127.86,57631.36,147874.28,86927.42,64843.35,34551.36,49388.05,42816,48400.8,72447.48
197109,56692.19,63381.44,156831.08,85249.44,68227.43,34041.33,52334.85,44025,46974.2,77294.07
197110,56518.03,63263.12,156265.06,83758.02,67119.61,34086.42,52652.85,44290.8,46086.6,76800.15
197111,54008.26,59962.95,146493.6,79787.26,64180.22,33462.18,50805.8,43170.6,46811.03,73483.83
197112,53616.4,59736.15,144524.12,79342.06,65038.08,33218.1,50787.25,43354.2,45977.03,72628.16
197201,59132.5,63360.9,158645.32,86280.82,72304.96,35636.76,55975.95,46692,49510.41,78418.57
197202,60530.6,65429.1,163772.22,86303.08,78386.4,35995.59,56063.4,47879.4,49167.08,80946.78
197203,63193.59,65428.18,171192.51,87857.04,79615.7,35706.42,59079.1,51172.8,47656.15,82499.92
197204,63112.28,68152.4,175301.28,82764.15,80432.73,35487.99,60231.85,51385.2,47387.88,84131.9
197205,64261.12,67672.68,178393.67,82189.12,81024.3,35110.26,59818.45,51939.6,45892.24,85109.9
197206,64341.2,66453.28,181487.2,84402.24,83757.76,35153.46,60561.6,53725.8,45501.65,84306.88
197207,67620.33,65448.6,181516.82,84298.42,83538,34725.78,61412.5,55592.6,47131.37,91753.76
197208,65780.6,64066.49,182032.08,83267.28,84325.8,34981.74,59840.64,57288,46965.49,88798.65
197209,65539.4,66129.25,185485.41,92939.94,86488.35,36379.26,59426.22,57768.2,49452.26,91757.15
197210,63690.46,65320.92,183098.74,92693.6,85437.3,37834.29,59050.42,57494.5,49332.14,89946.56
