Date,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
193304,4.972307692,10.82461538,9.422307692,6.211538462,7.980769231,2.803846154,5.2,5.338461538,3.470769231,8.963076923
193305,7.4,13.85076923,11.77461538,7.600769231,11.01307692,4.443076923,8.703076923,8.759230769,6.732307692,12.38923077
193306,6.802307692,13.91,11.09461538,6.216923077,9.623846154,4.842307692,7.713076923,6.439230769,5.576153846,12.03076923
193307,5.660769231,12.04923077,9.130769231,4.981538462,7.215384615,3.906153846,6.177692308,4.165384615,3.223846154,8.863076923
193308,3.340769231,7.39,4.784615385,3.275384615,2.386153846,1.465384615,2.973846154,1.305384615,-1.637692308,3.081538462
193309,2.705384615,5.962307692,4.356153846,3.683846154,2.068461538,0.894615385,2.136153846,1.759230769,-1.856923077,2.565384615
193310,3.983846154,9.818461538,6.553076923,5.105384615,4.52,1.953076923,4.223076923,3.91,-1.208461538,4.361538462
193311,4.269230769,10.83076923,7.7,5.356153846,5.269230769,1.750769231,5.006153846,2.582307692,-0.850769231,5.252307692
193312,4.746923077,11.50230769,8.303076923,6.023846154,5.926923077,1.927692308,5.952307692,3.347692308,0.026153846,6.302307692
193401,4.005384615,11.28,7.796923077,5.995384615,5.331538462,2.066923077,6.37,3.158461538,0.233076923,5.5
193402,4.792307692,13.14,9.049230769,6.962307692,7.121538462,2.762307692,7.936153846,3.941538462,1.621538462,6.826923077
193403,4.233076923,11.90307692,7.971538462,6.471538462,6.463076923,3.116153846,7.186923077,4.8,2.316923077,6.407692308
193404,1.373846154,4.779230769,2.797692308,3.115384615,1.840769231,1.768461538,3.312307692,1.914615385,-0.228461538,3.478461538
193405,0.692307692,2.563846154,1.122307692,1.845384615,0.530769231,0.533846154,2.186923077,0.264615385,-1.384615385,1.293846154
193406,-0.496923077,-0.096153846,-0.72,0.135384615,-1.216153846,-0.607692308,0.293846154,-0.68,-3.909230769,-1.151538462
193407,0.336153846,1.282307692,0.732307692,1.533076923,0.142307692,-0.075384615,1.692307692,0.555384615,-2.707692308,-0.296923077
193408,-0.403846154,-0.262307692,-0.601538462,-0.112307692,-0.873846154,-0.277692308,1.338461538,0.646153846,-2.489230769,-1.446923077
193409,0.216153846,0.756153846,0.139230769,-0.266153846,0.373076923,-0.123846154,2.14,0.692307692,-1.556153846,-0.354615385
